Category,Parameter,Classification,Meaning,DecisionRule,debug,small,default,final_experiment
batch_size,batch_size,Profile-Scaled,Mini-batch size for training/evaluation routines that consume it.,May increase with profile rigor.,16,16,16,32
log_dir,log_dir,Metadata/Output,Derived log directory for the profile outputs.,"Should track output_dir, not scientific semantics.",outputs/debug/logs,outputs/small/logs,outputs/logs,outputs/final/logs
output_dir,output_dir,Metadata/Output,Base output directory for run artifacts.,Profile-specific output identity; may vary by profile.,outputs/debug,outputs/small,outputs,outputs/final
train_epochs,train_epochs,Profile-Scaled,Training epoch budget for the main training loop.,May increase with profile rigor.,30,30,30,60
domain_randomization,domain_randomization.enabled,Workload-Defining,Whether domain randomization is used during training.,Enable only when the profile intends broader training generalization.,True,True,False,True
domain_randomization,domain_randomization.phases,Workload-Defining,Explicit domain-randomization curriculum phases active at runtime.,Treat omission carefully because runtime may inject or suppress defaults by policy.,[],[],[],[]
domain_randomization,domain_randomization.rho_max,Workload-Defining,Maximum randomized load factor used during training.,Change only when the intended training regime changes.,0.98,0.85,0.95,0.95
domain_randomization,domain_randomization.rho_min,Workload-Defining,Minimum randomized load factor used during training.,Change only when the intended training regime changes.,0.4,0.4,0.4,0.45
drift,drift.q_max,Profile-Scaled,Queue grid upper bound for drift verification.,Increase with rigor when larger compact-set coverage is required.,50,50,50,120
drift,drift.use_grid,Invariant,Whether drift verification uses grid evaluation.,Keep fixed unless the drift evaluation method changes.,True,True,True,True
generalization,generalization.rho_boundary_vals,Profile-Scaled,Boundary-load values used by generalization evaluations.,Increase coverage with rigor.,[0.95],[0.95],"[0.9, 0.95, 0.98, 0.99]","[0.9, 0.95, 0.98, 0.99]"
generalization,generalization.rho_grid_vals,Profile-Scaled,Grid of load factors used in generalization heatmaps.,Increase coverage with rigor.,"[0.5, 0.85]","[0.5, 0.85]","[0.5, 0.7, 0.85, 0.95, 0.98]","[0.5, 0.7, 0.85, 0.95, 0.98]"
generalization,generalization.scale_vals,Profile-Scaled,Problem-scale multipliers used in generalization sweeps.,Increase coverage with rigor.,"[0.5, 2.0]","[0.5, 2.0]","[0.5, 1.0, 2.0, 5.0, 10.0]","[0.5, 1.0, 2.0, 5.0, 10.0]"
jax,jax.enabled,Profile-Scaled,Whether JAX acceleration is enabled at the root profile level.,Enable as needed for runtime budget or target hardware.,True,False,False,True
jax,jax.fallback_to_cpu,Invariant,Whether JAX may fall back to CPU when the target platform is unavailable.,Keep fixed unless failure-handling semantics change.,True,True,True,True
jax,jax.platform,Invariant,Requested JAX backend selection policy.,Keep fixed unless device-selection semantics change.,auto,auto,auto,auto
jax,jax.precision,Invariant,Requested JAX floating-point precision.,Keep fixed unless a numerics contract changes.,float32,float32,float32,float32
jax_engine,jax_engine.max_events_additive_buffer,Invariant,Additive safety buffer for JAX event-count budgeting.,Keep fixed unless the engine safety contract changes.,1000,1000,1000,1000
jax_engine,jax_engine.max_events_safety_multiplier,Invariant,Safety multiplier for JAX event-count budgeting.,Keep fixed unless the engine safety contract changes.,1.5,1.5,1.5,1.5
jax_engine,jax_engine.scan_sampling_chunk,Invariant,Chunk size used by JAX scan-based sampling.,Keep fixed unless the engine sampling contract changes.,16,16,16,16
neural,neural.actor_lr,Workload-Defining,Actor network learning rate.,Change only when the intended optimization regime changes.,0.001,0.0003,0.001,0.0003
neural,neural.capacity_bound,Invariant,Capacity normalization bound used by neural feature scaling.,Keep fixed unless the neural feature contract changes.,100.0,100.0,100.0,100.0
neural,neural.clip_global_norm,Invariant,Gradient clipping threshold for neural optimization.,Keep fixed unless optimization stability policy changes.,0.5,0.5,0.5,0.5
neural,neural.critic_lr,Workload-Defining,Critic/value network learning rate.,Change only when the intended optimization regime changes.,0.005,0.003,0.001,0.001
neural,neural.entropy_bonus,Invariant,Base entropy regularization coefficient.,Keep fixed unless the optimization objective changes.,0.01,0.01,0.01,0.01
neural,neural.entropy_final,Invariant,Final-stage entropy regularization coefficient.,Keep fixed unless the optimization objective changes.,0.001,0.001,0.001,0.001
